,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other
1974-01,0.0007569480375776954,0.02387411159455578,0.014288316416927122,0.0062348614674162806,0.008434537498504374,0.004557023221214928,0.0029182338817140105,0.006313512605406028,0.08797070499375703,0.0034528244809347657,0.0005688176773610168,0.013566596711507648,0.054545341485192224,0.03994638600919303,0.00101629917701926,0.003284442538782849,0.020239625381336154,0.00360867757346721,0.019814369085997624,0.0027154008967072885,0.02847981420519652,0.010061680672849021,0.03641002268973348,0.0036874472810117147,0.002248223676564177,0.0006528439684998108,0.0026144586824229615,0.008855090534837486,0.0010592213558418045,0.14337724350394954,0.0589685523766648,0.049462159277539365,0.001208408204517832,0.00860103550217513,0.06148459832863827,5.782241953718508e-05,0.019349168025100484,0.005966301425888481,0.010838443000466345,0.016799935772189623,0.01433010559778198,0.005278795624214295,0.046935837297486814,0.006212728483861379,0.031837374636080384,0.020093060237259784,0.0018070922352829949,0.040328957264818534,0.04488654698501731
1974-02,0.0007725448998985086,0.025248494732136154,0.01348915890613965,0.006171627500857358,0.008666368395007725,0.004957934583036618,0.003159743882981777,0.006052552909916713,0.08540119083270038,0.0037698976041363845,0.0005596703026431627,0.013062015795931584,0.05317370210767023,0.04073642354712332,0.0011088599372598546,0.0036327284094260738,0.021325529404250556,0.003600247543647676,0.020329918542328178,0.002533665332492092,0.02756572177724094,0.00992546877417778,0.04046329497132683,0.004062212245993877,0.0022365640367304155,0.0007589870972193473,0.002898503041057221,0.009098298159119974,0.0011148169543439088,0.13177517491636606,0.06122559038280226,0.05036180594192334,0.0012663592609148627,0.008615161718351418,0.06118395701395433,7.916389149228946e-05,0.02026923060890012,0.006138489127674538,0.010774113581063977,0.016838764627222037,0.01434407633366402,0.005554911855806628,0.050376507807486204,0.006280274024363884,0.03176828555378252,0.019674988566932502,0.002004398172229357,0.04042184570455213,0.045170758683723305
1974-03,0.0008830676036517453,0.0256041925932921,0.01321998204438451,0.006076513110604014,0.00879599310435686,0.004837912433520803,0.003161324172161267,0.005738136598054731,0.0825502917374782,0.003859341295042988,0.000541772230475084,0.012546042219800109,0.05298566753583115,0.041472703865410146,0.0010801897523558077,0.003625000371461335,0.022292078232068566,0.0036819247574522568,0.020897879830772115,0.002463571199562567,0.027749687229555505,0.00973457188998537,0.04005349043231165,0.004425705916867282,0.00219223602884389,0.0008275564216749835,0.0029037512311879594,0.009314506902411989,0.001180646104988511,0.12941118590599748,0.061197809269627756,0.052232020363345316,0.00124989310168234,0.00856735782688845,0.06043127156333051,8.080357157597671e-05,0.020572024041638007,0.006140965779661021,0.01066420918853363,0.017097655369069122,0.015475772631323137,0.005700019712214869,0.051104283560045816,0.006005113289103569,0.0323835039469005,0.01925433676981845,0.0019542366238424025,0.040982493770180664,0.04479930686965736
1974-04,0.0008914182114612209,0.025713968110294864,0.012954224874831657,0.006073842463369068,0.008467477230372814,0.0050805161438389175,0.003357805775637283,0.006207493551656754,0.0844342003448103,0.0038708552497747806,0.0005417035087779907,0.013531099009579727,0.054467973493866374,0.043100396353716514,0.0010088658834699344,0.0038055809524235313,0.02283619531592563,0.003571593324869893,0.02084652147132168,0.002336543465833518,0.027070828099568907,0.009759388074461743,0.04111817391291978,0.004312195123272976,0.002063117590129301,0.0008081657089241873,0.00311365714289198,0.00864660897789839,0.0012670096073658886,0.1281001446994879,0.06020448413287911,0.05094402850934192,0.001310160009413155,0.008550282648681417,0.06124574330090009,8.374023078623352e-05,0.019236002148442937,0.006407665353932534,0.011094598348674078,0.017266501286146166,0.015057024577236136,0.00592058740906493,0.04998033168095066,0.006375827537665322,0.031558781516643826,0.018814781065224235,0.001955559963173807,0.04020242348102625,0.04443391312706357
1974-05,0.0008464752036639695,0.02625062370077906,0.013041496998585676,0.006144496178229219,0.008643455520446675,0.004822360837419755,0.0032406179425556905,0.006096984252387108,0.08489518588756313,0.003852309078884244,0.0004993733991146243,0.013936309679828975,0.05645014603369718,0.045600517364733535,0.0010007395093190913,0.003900646556463576,0.02286863714004966,0.003496012336020338,0.02187168378180127,0.002279547617575114,0.02708068750525311,0.009801804243321697,0.04214499976478893,0.004517476040673796,0.0019443736122635427,0.0008612354993794485,0.0028673119871749113,0.008510684027260572,0.00136107860896525,0.1257312449056875,0.05515485535799803,0.05068141823240976,0.001232520276369101,0.008105067684923056,0.06235202963673803,7.412885254215492e-05,0.01931295734053917,0.006394894560318617,0.011090504738773726,0.017598386017886433,0.015177882558006218,0.0060918316708548,0.05134106253775031,0.006481235885111381,0.031371250687396365,0.017867629753425488,0.001795318822743296,0.039214831976380114,0.04410367819594741
1974-06,0.000823250867737534,0.025989653185359212,0.013475406173202245,0.006109536915356574,0.009470303357894222,0.005153023337070099,0.003357326924533535,0.006263794086450097,0.08944109217174188,0.003734452950542873,0.00047903105293637093,0.014962886037318353,0.058376884306809,0.047433544082478275,0.0010449881063403078,0.0037870433297226337,0.02183876543161715,0.0033134619027148566,0.02041763401869725,0.002079076960823428,0.02701987072087667,0.009604742353821192,0.044630009335983475,0.004565178441821811,0.0017523525298094168,0.0008654184650866514,0.0027418169883690544,0.008164924382047783,0.0013063616952761854,0.12062029309964345,0.054339381529696,0.051488333787741807,0.0011748708576384541,0.007692161887898128,0.06153870962357632,7.31679284511167e-05,0.019735269381933356,0.006540146701845442,0.010794279554464195,0.0180799380612789,0.015046461857911786,0.006105189126364362,0.054687800236606084,0.0065723977667671175,0.029209146265026655,0.01698684137194601,0.0014804519312245892,0.036751651895525074,0.04288167702202302
1974-07,0.0010937894221816167,0.026567871542292384,0.013959280855847692,0.005934296048369359,0.009537068280052654,0.004743902086399566,0.003297163439431809,0.00661729074582011,0.09001282790463311,0.0036728360718345835,0.00047200665543360867,0.015125854314462747,0.059155266940225236,0.04856985605322424,0.0010559471335713762,0.003788256554966691,0.02105776079814226,0.003327220856914129,0.021233220972695303,0.002083294634408325,0.027161054676305963,0.009162222226630644,0.043642408346968885,0.004450135916636114,0.0019078194311465423,0.0008069815445653215,0.002882581480098173,0.008346794547752792,0.001320422349998308,0.12243819879362752,0.0541082808846427,0.05276627730889209,0.001157270687904276,0.007607667623153807,0.06252640168408105,6.932743342297056e-05,0.018988953838960414,0.006418956876563024,0.011079645002662787,0.018909001108457446,0.015035727148142011,0.005841268341261579,0.0544059695473876,0.00621521267215912,0.028650685258020992,0.016573073880110218,0.0014777428731007698,0.03590591463248585,0.03883899257395433
1974-08,0.0010811839047559692,0.026038106920094454,0.01208531333960253,0.005698545235430834,0.00962335525164949,0.004473660187395664,0.0030936996218142603,0.006727641340431767,0.08424574311195394,0.003789537951437768,0.00048250779079547887,0.014234272730808267,0.05479133718543306,0.05024243364094046,0.0010712577698448254,0.003952863551606871,0.021503718313865362,0.0031685198977510474,0.023855431214895455,0.0020681834343222643,0.027275586768820154,0.009088922384622108,0.04203643282048846,0.004520898826161321,0.0019129614656052108,0.0008434285651056005,0.003779416548298864,0.009109458093241556,0.0012972319264203285,0.13144285483450774,0.05867263493156581,0.052775827355549115,0.0011983936584690354,0.007627176976313802,0.06267140278904865,6.355980813594836e-05,0.018011590145658708,0.006041598966900897,0.01204101999660559,0.018508954594116278,0.015114785986835994,0.0060447232585450605,0.05082161547682956,0.005520623335236657,0.02874953644136348,0.01606081173327727,0.0014786686547141902,0.0364703445328883,0.03859222672984462
1974-09,0.0011643967259177968,0.025514036284215832,0.01145110331504915,0.005159047548553029,0.010236916680779501,0.005002806528341979,0.003223392910640155,0.006454844303556911,0.08165571951229272,0.003956840711596362,0.0004673919720428225,0.013861165121629567,0.05592334872389526,0.04913587617422474,0.0010480523880493785,0.004027154566996431,0.020944391165924777,0.0034039532791502324,0.023965548549252837,0.0020483115006324016,0.027037719003421164,0.008500187836386546,0.0436076314186913,0.004553456203003241,0.0018043085718777493,0.00093636686024712,0.00384783534865842,0.008840388897318117,0.001413831935135693,0.13140585709558808,0.058552500517370744,0.057289351408197284,0.0012279112368969842,0.007397524840766279,0.06525661814099268,5.8280095036127816e-05,0.019026850125450603,0.0063733960719755565,0.011796754644127617,0.018866202122744532,0.01496972807748806,0.005994827281811869,0.04804339420755214,0.005686410457895373,0.02802463125473357,0.015473742973448648,0.0013819937350696605,0.03547986058465907,0.03850814109071377
1974-10,0.0011903280627537794,0.026537443656270015,0.009409876822248952,0.004792059778050626,0.010096362425858027,0.004578729832410594,0.002777195990303861,0.006719680747151547,0.07571057302196593,0.003976653173987867,0.0004857259109572264,0.013304307182004935,0.05295456914223124,0.04957979020713327,0.001013150245675575,0.004056365986012769,0.02058758463438994,0.0033584234368460265,0.024719878187163858,0.0020494168019993056,0.026706625901801787,0.008269101061129748,0.044379510957242574,0.004796128410660327,0.0017488642796667127,0.0009526672892686656,0.00318962578842661,0.009208833742251153,0.0014889980834311373,0.1360672196403948,0.06449005347863332,0.06185726358304394,0.0012397791546219453,0.007669676098586976,0.06052376418472587,6.303344252045353e-05,0.018072562422995816,0.005871785808071021,0.011608841175096397,0.018070720405247143,0.015288261507089935,0.006001658180328963,0.04786260458435304,0.005058707028635704,0.02842771822156546,0.016586661358416837,0.0014657198371567245,0.036890959856623814,0.038244539272597716
